Tensão(V),Corrente(A),Potência(W)
11.853,0.830,9.840
12.044,0.830,10.001
12.041,0.830,9.999
12.038,0.830,9.993
12.035,0.831,10.003
12.033,0.831,10.001
12.031,0.831,10.000
12.029,0.831,9.998
12.027,0.831,9.996
12.025,0.831,9.995
12.024,0.831,9.994
12.022,0.831,9.993
12.021,0.831,9.992
12.020,0.832,10.003
12.018,0.832,10.002
12.017,0.832,10.001
12.016,0.832,10.000
12.015,0.832,9.999
12.014,0.832,9.998
12.013,0.832,9.997
12.012,0.832,9.996
12.011,0.832,9.996
12.010,0.832,9.995
12.009,0.832,9.994
12.007,0.832,9.993
12.007,0.832,9.992
12.006,0.832,9.992
12.005,0.833,10.003
12.004,0.833,10.000
