Tensao (V),Corrente (A),Potencia (W)
12.1579,0.120743,1.46797
12.1575,0.120743,1.46793
12.1573,0.120743,1.4679
12.157,0.120743,1.46787
12.1569,0.120743,1.46786
12.1568,0.120743,1.46784
12.1567,0.120743,1.46783
12.1566,0.120743,1.46783
12.1566,0.120743,1.46782
12.1566,0.120743,1.46782
12.1566,0.120743,1.46782
12.1566,0.120743,1.46783
12.1566,0.120743,1.46783
12.1567,0.120743,1.46784
12.1567,0.120743,1.46784
12.1568,0.120743,1.46785
12.1569,0.120743,1.46786
12.157,0.120743,1.46786
12.157,0.120743,1.46787
12.1571,0.120743,1.46788
12.1572,0.120743,1.46789
12.1573,0.120743,1.4679
12.1573,0.120743,1.46791
12.1575,0.120743,1.46793
12.1576,0.120743,1.46794
12.1576,0.120743,1.46795
12.1577,0.120743,1.46796
12.1578,0.120743,1.46797
12.1579,0.120743,1.46798
12.158,0.120743,1.46799
