Corrente_Fonte_A,Corrente_Multimetro_A
0.002382,0.143590
0.143787,0.143810
0.143788,0.143950
0.143757,0.143790
0.143744,0.143760
0.143755,0.143870
0.143760,0.143910
0.143764,0.143900
0.143772,0.143890
0.143779,0.143880
0.143776,0.143870
0.143774,0.143830
0.143772,0.143820
0.143771,0.143900
0.143766,0.143760
0.143766,0.143880
0.143761,0.143840
0.143758,0.143880
0.141069,0.289790
0.289897,0.290120
0.289908,0.290080
0.289819,0.289880
0.289680,0.289780
0.289562,0.289670
0.289495,0.289590
0.289359,0.289440
0.289250,0.289250
0.289151,0.289330
0.289090,0.289190
0.289019,0.289080
0.288780,0.288810
0.288668,0.288790
0.288613,0.288820
0.288638,0.288790
0.288574,0.288690
0.288548,0.288750
0.282375,0.094110
0.094872,0.095160
0.095415,0.095560
0.095573,0.095670
0.095656,0.095650
0.095731,0.095800
0.095799,0.095800
0.095872,0.095850
0.095922,0.095910
0.095955,0.095970
0.095991,0.096070
0.096022,0.095970
0.096045,0.096100
0.096065,0.096160
0.096084,0.096150
0.096097,0.096200
0.096107,0.096140
0.096116,0.096250
