Tempo_s,Tensao_Fonte_V,Corrente_Fonte_A,Tensao_Multimetro_V
0.1,9.919,0.000102,9.984323
0.9,9.999,0.000820,10.648403
1.6,19.999,0.001830,12.308390
2.5,19.999,0.001512,13.507830
3.4,19.999,0.001279,14.511340
4.2,19.999,0.001087,15.349800
5.0,19.999,0.000926,16.050720
5.8,19.999,0.000789,16.636560
6.6,19.999,0.000679,17.126310
7.5,19.999,0.000583,17.534840
8.3,19.999,0.000506,17.875610
9.1,19.999,0.000440,18.159480
9.9,19.999,0.000385,18.396620
10.7,19.999,0.000339,18.592940
11.6,19.999,0.000303,18.756630
12.4,19.999,0.000271,18.892530
13.2,19.999,0.000243,19.006110
14.0,19.999,0.000222,19.100960
