Data e Hora,Tempo (s),Tensão Capacitor (V),Corrente (mA),Tensão Fonte (V)
2025-07-11 14:42:18,0.0004992485046386719,1.460148,1.929,10
2025-07-11 14:42:18,1.0003485679626465,2.907585,1.599,10
2025-07-11 14:42:19,2.000502347946167,4.269126,1.2979999999999998,10
2025-07-11 14:42:20,3.0002121925354004,5.324423,1.0430000000000001,10
2025-07-11 14:42:21,4.000214338302612,6.196251,0.9259999999999999,10
2025-07-11 14:42:22,5.000216007232666,6.901677,0.771,10
2025-07-11 14:42:23,6.000307559967041,7.472633,0.65,10
2025-07-11 14:42:24,7.000913143157959,7.936267,0.5760000000000001,10
2025-07-11 14:42:25,8.000290155410767,8.312553,0.48000000000000004,10
2025-07-11 14:42:26,9.000093221664429,8.618056,0.43,10
2025-07-11 14:42:27,10.000172853469849,8.866759,0.374,10
2025-07-11 14:42:28,11.000326871871948,9.069212,0.345,10
2025-07-11 14:42:29,12.000608205795288,9.234128,0.289,10
2025-07-11 14:42:30,13.000157356262207,9.368674,0.289,10
2025-07-11 14:42:31,14.000313758850098,9.47852,0.289,10
2025-07-11 14:42:32,15.000192403793335,9.568157,0.228,10
2025-07-11 14:42:33,15.737298488616943,10.86065,2.166,20
2025-07-11 14:42:34,16.476503372192383,12.27846,1.847,20
2025-07-11 14:42:35,17.277429580688477,13.44699,1.511,20
2025-07-11 14:42:36,18.076931476593018,14.42993,1.284,20
2025-07-11 14:42:36,19.00044345855713,15.36936,1.0679999999999998,20
2025-07-11 14:42:37,20.000146865844727,16.20739,0.898,20
2025-07-11 14:42:38,21.00040102005005,16.88013,0.721,20
2025-07-11 14:42:39,22.000176191329956,17.42964,0.65,20
2025-07-11 14:42:40,23.00050687789917,17.8762,0.47600000000000003,20
2025-07-11 14:42:41,24.0005886554718,18.23998,0.45199999999999996,20
2025-07-11 14:42:42,25.0003719329834,18.53632,0.356,20
2025-07-11 14:42:43,26.00013828277588,18.77808,0.257,20
2025-07-11 14:42:44,27.00059938430786,18.97541,0.243,20
2025-07-11 14:42:45,28.000436067581177,19.13659,0.182,20
2025-07-11 14:42:46,29.000585317611694,19.26843,0.15100000000000002,20
2025-07-11 14:42:47,30.000348567962646,19.37635,0.186,20
2025-07-11 14:42:48,31.000321626663208,19.46482,0.154,20
2025-07-11 14:42:49,32.000370502471924,19.53764,0.179,20
2025-07-11 14:42:50,32.79778599739075,17.87889,-2.3289999999999997,5
2025-07-11 14:42:51,33.59848928451538,16.03964,-2.258,5
2025-07-11 14:42:52,34.397403717041016,14.39777,-1.971,5
2025-07-11 14:42:53,35.19755291938782,12.96411,-1.777,5
2025-07-11 14:42:53,36.000274658203125,11.853203,-1.504,5
2025-07-11 14:42:54,37.00047492980957,10.578357,-1.036,5
2025-07-11 14:42:55,38.000133991241455,9.54271,-0.8059999999999999,5
2025-07-11 14:42:56,39.00033402442932,8.702556,-0.622,5
2025-07-11 14:42:57,40.00029635429382,8.019189,-0.508,5
2025-07-11 14:42:58,41.000402212142944,7.463625,-0.43,5
2025-07-11 14:42:59,42.00032019615173,7.01161,-0.285,5
2025-07-11 14:43:00,43.000298261642456,6.643854,-0.23900000000000002,5
2025-07-11 14:43:01,44.000261306762695,6.344036,-0.221,5
2025-07-11 14:43:02,45.00063943862915,6.100195,-0.182,5
2025-07-11 14:43:03,46.000258922576904,5.901243,-0.087,5
2025-07-11 14:43:04,47.00056195259094,5.739085,-0.009000000000000001,5
2025-07-11 14:43:05,48.00049543380737,5.606741,-0.004,5
2025-07-11 14:43:06,49.00032901763916,5.498647,-0.006,5
