Tensao_Fonte_V,Corrente_Fonte_A,Corrente_Multimetro_A
10.00,0.098265,0.000040
10.50,0.103162,0.000170
11.00,0.108053,0.000150
11.50,0.112947,0.000010
12.00,0.117846,0.000060
12.50,0.122736,-0.000050
13.00,0.127627,0.000040
13.50,0.132517,0.000120
14.00,0.137408,0.000040
14.50,0.142296,0.000060
15.00,0.147179,0.000040
15.50,0.152066,0.000020
16.00,0.156947,0.000040
16.50,0.161824,0.000000
17.00,0.166706,0.000030
17.50,0.171576,0.000060
18.00,0.176451,0.000160
18.50,0.181325,0.000040
19.00,0.186193,0.000040
19.50,0.191061,0.000030
20.00,0.195923,0.000060
20.50,0.200787,0.000140
21.00,0.205647,0.000040
21.50,0.210502,0.000160
22.00,0.215357,0.000010
22.50,0.220203,0.000040
23.00,0.225054,0.000040
23.50,0.229904,0.000100
24.00,0.234742,0.000090
24.50,0.239588,-0.000030
25.00,0.244426,-0.000040
5.00,0.048985,0.000070
